Customer_ID,First_Name,D_State,D_Email,Test_Variable,Days_in_Between,Int_T_Email,Int_T_State,Outcome
230,Serena,1,1,control,200,9,9,0
231,Gianni,0,0,test,200,0,0,0
232,Chasity,0,0,test,200,0,0,0
233,Patience,0,0,control,200,0,0,0
234,Lacy,0,0,control,200,0,0,0
235,Ryann,1,0,test,200,0,9,0
236,Xzavier,0,0,control,200,0,0,0
237,Lenore,0,0,control,200,0,0,0
238,Kim,0,1,test,200,9,0,0
239,Tobin,0,0,control,200,0,0,0
240,Elise,1,0,test,200,0,10,0
241,Pearline,1,0,control,200,0,10,0
242,Jamarcus,1,0,test,200,0,10,0
243,Norma,0,0,test,200,0,0,0
244,Delaney,0,0,control,200,0,0,0
245,Irma,0,0,control,200,0,0,0
246,Brannon,1,0,control,200,0,10,0
247,Alaina,0,0,test,200,0,0,0
248,Gerardo,1,1,test,200,10,10,0
249,Jessica,1,0,control,200,0,10,0
250,Angelica,0,0,test,200,0,0,0
251,Edythe,0,0,control,200,0,0,0
252,Gordon,1,0,test,200,0,11,0
253,Dariana,0,0,test,200,0,0,0
254,Abigayle,1,1,test,200,11,11,0
255,Parker,0,0,control,200,0,0,0
256,Derek,0,0,control,200,0,0,0
257,Lesly,1,0,test,200,0,11,0
258,Summer,1,0,test,200,0,11,0
259,Sydnee,0,0,control,200,0,0,0
260,Shaniya,0,0,control,200,0,0,0
261,Geraldine,0,0,control,200,0,0,0
262,Bethany,0,0,control,200,0,0,0
263,Juana,1,0,control,200,0,11,0
264,Christop,0,0,control,200,0,0,0
265,Marquis,0,0,control,200,0,0,0
266,Jonathon,1,1,test,200,12,12,0
267,Lonzo,1,0,test,200,0,12,0
268,Barney,1,0,test,200,0,12,0
269,Maynard,0,0,control,200,0,0,0
270,Raina,0,0,control,200,0,0,0
271,Adalberto,0,0,test,200,0,0,0
272,Norwood,1,0,control,200,0,12,0
273,Aglae,1,0,test,200,0,12,0
274,Esther,1,0,control,200,0,12,0
275,Cecelia,0,0,control,200,0,0,0
276,Monte,0,0,test,200,0,0,0
277,Shirley,0,0,control,200,0,0,0
278,Antonetta,1,0,control,200,0,13,0
279,Betsy,0,0,control,200,0,0,0
280,Peggie,1,0,control,200,0,13,0
281,Zion,0,0,test,200,0,0,0
282,Isabella,0,0,control,200,0,0,0
283,Ludwig,0,0,test,200,0,0,0
284,Lon,1,0,control,200,0,13,0
285,Shania,1,0,control,200,0,13,0
286,Dax,1,0,control,200,0,13,0
287,Glen,0,0,test,200,0,0,0
288,Chris,0,0,test,200,0,0,0
289,Edyth,0,0,control,200,0,0,0
290,Sven,0,0,control,200,0,0,0
291,Adolfo,0,0,control,200,0,0,0
292,Fiona,0,0,control,200,0,0,0
293,Lonny,1,0,control,200,0,14,0
294,Elinor,0,0,test,200,0,0,0
295,Camden,0,0,control,200,0,0,0
296,Reese,0,0,control,200,0,0,0
297,Jazlyn,1,0,test,200,0,14,0
298,Clinton,0,0,control,200,0,0,0
299,Marcia,0,0,control,200,0,0,0
300,Connie,1,1,control,200,14,14,0
301,Daniela,0,0,control,200,0,0,0
302,Quentin,1,0,test,200,0,15,0
303,Dahlia,0,0,control,200,0,0,0
304,Natasha,1,0,test,200,0,15,0
305,Alexandra,1,0,control,200,0,15,0
306,Deborah,1,0,test,200,0,15,0
307,Alverta,0,1,test,200,15,0,0
308,Mallory,1,0,control,200,0,15,0
309,Jalen,1,1,test,200,15,15,0
310,Freeda,0,0,test,200,0,0,0
311,Xzavier,0,0,control,200,0,0,0
312,Demond,0,0,test,200,0,0,0
313,Buford,0,0,test,200,0,0,0
314,Keyshawn,0,0,test,200,0,0,0
315,Odell,0,0,test,200,0,0,0
316,Imani,1,0,test,200,0,16,0
317,Giovanna,0,0,test,200,0,0,0
318,Blanche,1,0,control,200,0,16,0
319,Rosalinda,0,0,test,200,0,0,0
320,Marguerite,0,0,test,200,0,0,0
321,Jewell,1,0,test,200,0,16,0
322,Reggie,0,0,control,200,0,0,0
323,,0,0,test,200,0,0,0
324,Bradford,1,0,test,200,0,16,0
325,Destiny,0,1,test,200,16,0,0
326,Tressie,0,0,control,200,0,0,0
327,Samanta,1,0,control,200,0,17,0
328,Margarette,0,0,control,200,0,0,0
329,Alek,1,0,test,200,0,17,0
330,Andy,0,0,test,200,0,0,0
331,,0,0,control,200,0,0,0
332,Lexus,0,0,test,200,0,0,0
333,Kiarra,0,0,test,200,0,0,0
334,Kian,0,0,test,200,0,0,0
335,Maci,1,0,test,200,0,17,0
336,Jimmie,1,0,control,200,0,17,0
337,Meagan,0,0,control,200,0,0,0
338,Tobin,1,0,test,200,0,18,0
339,Trycia,0,0,control,200,0,0,0
340,Kole,1,0,test,200,0,18,0
341,Judd,0,0,control,200,0,0,0
342,Ewald,0,0,test,200,0,0,0
343,Gregg,0,0,control,200,0,0,0
344,Remington,0,0,test,200,0,0,0
345,Itzel,1,0,control,200,0,18,0
346,Retha,0,0,control,200,0,0,0
347,Shyanne,0,1,test,200,18,0,0
348,Annamarie,1,1,control,200,18,18,0
349,,0,0,test,200,0,0,0
350,Wiley,0,0,control,200,0,0,0
351,Rupert,0,0,control,200,0,0,0
352,Lionel,0,0,test,200,0,0,0
353,Ricky,0,0,control,200,0,0,0
354,Eloise,1,0,control,200,0,19,0
355,Laurel,0,0,test,200,0,0,0
356,Mittie,0,0,control,200,0,0,0
357,Mac,0,1,test,200,19,0,0
358,Maybelle,0,0,test,200,0,0,0
359,Ari,0,0,test,200,0,0,0
360,Johnathan,0,0,test,200,0,0,0
361,Araceli,0,0,control,200,0,0,0
362,Nathanael,1,0,test,200,0,20,0
363,Madie,0,0,control,200,0,0,0
364,Frederic,0,0,control,200,0,0,0
365,Therese,1,1,test,200,20,20,0
366,Rose,0,0,control,200,0,0,0
367,Felicia,1,0,control,200,0,20,0
368,Dale,1,0,test,200,0,20,0
369,Ardith,1,0,test,200,0,20,0
370,Moises,1,1,test,200,20,20,0
371,Rosemarie,1,0,control,200,0,21,0
372,Rafael,1,0,control,200,0,21,0
373,Demond,0,0,test,200,0,0,0
374,Kristy,1,0,test,200,0,21,0
375,Roy,0,0,control,200,0,0,0
376,Shirley,0,0,control,200,0,0,0
377,Ethel,0,0,control,200,0,0,0
378,,0,0,test,200,0,0,0
379,Shannon,1,0,test,200,0,21,0
380,Laila,0,0,test,200,0,0,0
381,Jocelyn,0,0,test,200,0,0,0
382,Ryder,1,0,test,200,0,22,0
383,Juston,1,1,control,200,22,22,0
384,Carlee,0,0,control,200,0,0,0
385,Lucio,0,0,test,200,0,0,0
386,Horace,1,0,control,200,0,22,0
387,Edison,0,0,control,200,0,0,0
388,Lorenza,1,0,test,200,0,22,0
389,Keanu,1,0,test,200,0,22,0
390,Verona,1,1,control,200,22,22,0
391,Stella,0,0,test,200,0,0,0
392,,0,0,control,200,0,0,0
393,Joanne,0,0,test,200,0,0,0
394,Daija,0,0,control,200,0,0,0
395,Micaela,0,0,test,200,0,0,0
396,Dahlia,1,0,control,200,0,23,0
397,Zakary,0,0,control,200,0,0,0
398,Jeanie,0,0,control,200,0,0,0
399,Kelli,1,0,control,200,0,23,0
400,Crystal,1,1,test,200,23,23,0
401,,0,0,test,200,0,0,0
402,Daphney,1,0,test,200,0,23,0
403,Ferne,0,0,control,200,0,0,0
404,Dallas,0,0,test,200,0,0,0
405,Kelli,0,0,control,200,0,0,0
406,Emmett,0,0,test,200,0,0,0
407,Reymundo,1,0,test,200,0,0,0
408,Marcellus,1,0,test,200,0,0,0
409,Flavie,1,0,control,200,0,0,0
410,Branson,1,0,test,200,0,0,0
411,Clay,0,0,control,200,0,0,0
412,Ole,1,0,test,200,0,0,0
413,Vella,1,0,control,200,0,0,0
414,Dax,1,0,control,200,0,0,0
415,Kyla,0,0,control,200,0,0,0
416,Monserrate,1,1,test,200,0,0,0
417,Joesph,1,0,test,200,0,1,0
418,Arnoldo,0,0,control,200,0,0,0
419,Julianne,1,1,test,200,1,1,0
420,Boris,0,1,control,200,1,0,0
421,Delores,0,0,test,200,0,0,0
422,Misty,0,0,control,200,0,0,0
423,Marley,1,0,control,200,0,1,0
424,Warren,0,0,control,200,0,0,0
425,Ernest,1,1,control,200,1,1,0
426,Lottie,0,0,test,200,0,0,0
427,Eldred,1,0,test,200,0,1,0
428,Laron,0,0,control,200,0,0,0
429,Dangelo,0,0,control,200,0,0,0
430,Julien,1,0,control,200,0,2,0
431,Aliza,0,0,test,200,0,0,0
432,Henri,0,0,control,200,0,0,0
433,Abigayle,0,0,control,200,0,0,0
434,Fabiola,1,0,test,200,0,2,0
435,Marc,1,0,control,200,0,2,0
436,Idell,1,0,test,200,0,2,0
437,Loraine,0,0,test,200,0,0,0
438,Turner,0,0,test,200,0,0,0
439,Nichole,1,0,control,200,0,3,0
440,Dante,1,0,test,200,0,3,0
441,Elouise,0,0,test,200,0,0,0
442,Wilmer,0,0,control,200,0,0,0
443,,0,0,test,200,0,0,0
444,Dimitri,1,0,control,200,0,3,0
445,Moses,0,0,control,200,0,0,0
446,Oscar,1,0,control,200,0,3,0
447,Imogene,1,0,test,200,0,3,0
448,,0,0,test,200,0,0,0
449,Stephan,0,0,test,200,0,0,0
450,Gillian,0,0,control,200,0,0,0
451,Kasandra,0,0,test,200,0,0,0
452,Alysson,1,0,test,200,0,4,0
453,Sid,1,0,test,200,0,4,0
454,Anastasia,0,0,control,200,0,0,0
455,Palma,1,0,control,200,0,4,0
456,Jacques,0,0,test,200,0,0,0
457,Aryanna,1,0,control,200,0,4,0
458,Brycen,1,0,control,200,0,4,0
459,Sedrick,1,0,test,200,0,4,0
460,Annamarie,0,0,control,200,0,0,0
461,Ena,0,0,test,200,0,0,0
462,Wilmer,1,1,test,200,4,4,0
463,Sherwood,1,0,control,200,0,5,0
464,Kelli,1,0,test,200,0,5,0
465,Lempi,0,0,control,200,0,0,0
466,Christine,0,0,test,200,0,0,0
467,Meaghan,0,0,test,200,0,0,0
468,Orie,1,0,test,200,0,5,0
469,Hillard,1,0,control,200,0,5,0
470,Brady,1,1,test,200,5,5,0
471,Juanita,0,0,control,200,0,0,0
472,Chelsea,1,0,test,200,0,5,0
473,Keagan,1,0,test,200,0,5,0
474,Pat,0,0,control,200,0,0,0
475,Savanna,0,0,test,200,0,0,0
476,Cletus,1,1,test,200,6,6,0
477,Demarco,1,1,control,200,6,6,0
478,Ron,0,0,test,200,0,0,0
479,Dax,1,0,control,200,0,6,0
480,Ora,0,0,control,200,0,0,0
481,Mose,1,0,test,200,0,6,0
482,Leanne,1,0,test,200,0,6,0
483,Margie,1,0,control,200,0,6,0
484,Freddy,1,1,control,200,7,7,0
485,Ashleigh,1,0,control,200,0,7,0
486,Hudson,1,1,control,200,7,7,0
487,Hope,1,1,control,200,7,7,0
488,Jerry,1,1,test,200,7,7,0
489,Cleo,0,0,test,200,0,0,0
490,Lela,1,0,test,200,0,7,0
491,Brendon,1,0,test,200,0,7,0
492,Maryjane,1,1,control,200,7,7,0
493,Jacey,1,0,control,200,0,7,0
494,Stevie,0,0,test,200,0,0,0
495,Cameron,1,0,test,200,0,7,0
496,Walker,1,0,test,200,0,8,0
497,Cooper,0,0,test,200,0,0,0
498,Madelyn,0,0,test,200,0,0,0
499,Margaret,0,0,control,200,0,0,0
500,Brenden,1,0,control,200,0,8,0
501,Keegan,1,1,test,200,8,8,0
502,Bradford,1,0,control,200,0,8,0
503,Stefan,0,0,test,200,0,0,0
504,Kaylah,1,0,test,200,0,8,0
505,Ethel,0,0,test,200,0,0,0
506,Shaylee,0,0,test,200,0,0,0
507,Milton,0,0,control,200,0,0,0
508,Suzanne,1,1,control,200,9,9,0
509,Maximilian,0,0,test,200,0,0,0
510,Donnie,0,0,control,200,0,0,0
511,Daphney,0,0,control,200,0,0,0
512,Marietta,0,0,control,200,0,0,0
513,Katrine,1,1,test,200,9,9,0
514,Billie,0,0,test,200,0,0,0
515,Emilia,1,0,control,200,0,9,0
516,Cecilia,1,0,test,200,0,9,0
517,Skylar,1,0,control,200,0,9,0
518,Aditya,0,0,control,200,0,0,0
519,Noemie,1,0,test,200,0,10,0
520,Maudie,0,0,test,200,0,0,0
521,Heaven,1,1,control,200,10,10,0
522,Reina,1,0,control,200,0,10,0
523,Mathias,0,0,control,200,0,0,0
524,Lamar,0,0,control,200,0,0,0
525,Horacio,0,0,control,200,0,0,0
526,Giovani,1,1,control,200,10,10,0
527,Elvera,0,0,control,200,0,0,0
528,Eladio,0,0,control,200,0,0,0
529,Katlyn,1,0,test,200,0,11,0
530,Michale,0,1,test,200,11,0,0
531,Reba,0,0,test,200,0,0,0
532,Jana,0,0,test,200,0,0,0
533,Colby,1,0,control,200,0,11,0
534,Scotty,0,0,control,200,0,0,0
535,Shayne,1,0,test,200,0,11,0
536,Jimmy,0,0,test,200,0,0,0
537,Liliana,1,0,control,200,0,11,0
538,Arthur,0,0,control,200,0,0,0
539,Bartholome,0,0,test,200,0,0,0
540,Dahlia,0,0,control,200,0,0,0
541,Randall,0,0,control,200,0,0,0
542,Melba,0,0,control,200,0,0,0
543,Marilie,1,1,control,200,12,12,0
544,Audie,1,0,control,200,0,12,0
545,Reyes,0,0,control,200,0,0,0
546,Adriana,0,0,test,200,0,0,0
547,,0,0,test,200,0,0,0
548,Lucas,1,1,control,200,12,12,0
549,Dudley,0,0,test,200,0,0,0
550,Michael,1,1,control,200,12,12,0
551,Imogene,0,0,test,200,0,0,0
552,Uriah,0,1,control,200,12,0,0
553,Jaylin,1,0,control,200,0,13,0
554,Roman,0,0,control,200,0,0,0
555,,0,0,test,200,0,0,0
556,Uriel,1,1,test,200,13,13,0
557,Roel,0,0,test,200,0,0,0
558,Rowena,0,1,test,200,13,0,0
559,Darion,1,0,control,200,0,13,0
560,Doyle,1,1,test,200,13,13,0
561,Johnnie,0,0,test,200,0,0,0
562,Hershel,0,0,test,200,0,0,0
563,Mariana,0,0,test,200,0,0,0
564,Oran,0,0,test,200,0,0,0
565,Domenica,0,0,control,200,0,0,0
566,Abagail,0,0,control,200,0,0,0
567,Elinore,0,0,control,200,0,0,0
568,Ethelyn,0,0,control,200,0,0,0
569,Dakota,1,0,test,200,0,14,0
570,Bell,1,0,test,200,0,14,0
571,Jordi,0,0,control,200,0,0,0
572,,0,0,control,200,0,0,0
573,Claire,1,0,test,200,0,14,0
574,Yoshiko,1,0,control,200,0,14,0
575,Ernestine,0,0,control,200,0,0,0
576,Darrel,0,0,control,200,0,0,0
577,Rickey,0,0,test,200,0,0,0
578,Austyn,0,0,control,200,0,0,0
579,Geraldine,1,1,test,200,15,15,0
580,German,1,0,control,200,0,15,0
581,Earnestine,0,0,test,200,0,0,0
582,Luciano,1,1,test,200,15,15,0
583,,0,0,control,200,0,0,0
584,Danielle,1,0,control,200,0,15,0
585,Lexus,0,0,test,200,0,0,0
586,Robbie,1,0,control,200,0,15,0
587,,0,0,test,200,0,0,0
588,Katheryn,0,0,test,200,0,0,0
589,Elisha,1,0,test,200,0,15,0
590,Myrtice,0,0,test,200,0,0,0
591,Vance,0,0,control,200,0,0,0
592,Foster,1,1,test,200,16,16,0
593,Javier,0,0,control,200,0,0,0
594,Mallory,1,0,control,200,0,16,0
595,Astrid,1,0,control,200,0,16,0
596,Willard,1,0,test,200,0,16,0
597,Adah,1,1,control,200,16,16,0
598,Neoma,1,0,control,200,0,16,0
599,Trisha,1,1,control,200,16,16,0
600,Lee,1,0,control,200,0,16,0
601,Dejon,0,0,test,200,0,0,0
602,Amira,0,0,test,200,0,0,0
603,Casper,0,0,test,200,0,0,0
604,Fleta,1,0,control,200,0,17,0
605,Lisandro,1,0,test,200,0,17,0
606,Reece,1,0,control,200,0,17,0
607,,1,0,control,200,0,17,0
608,,0,0,control,200,0,0,0
609,Bethany,0,0,test,200,0,0,0
610,Angela,0,0,test,200,0,0,0
611,Watson,0,0,test,200,0,0,0
612,Sister,0,0,control,200,0,0,0
613,Gordon,1,0,control,200,0,18,0
614,Brenden,0,0,test,200,0,0,0
615,Josephine,0,0,control,200,0,0,0
616,Bryon,1,0,test,200,0,18,0
617,Florine,0,0,test,200,0,0,0
618,Ardith,0,0,test,200,0,0,0
619,Dejah,1,0,test,200,0,18,0
620,Jarrell,1,0,control,200,0,18,0
621,Myrna,1,0,test,200,0,18,0
622,Baby,0,0,control,200,0,0,0
623,Arnold,0,0,control,200,0,0,0
624,Freeda,0,0,test,200,0,0,0
625,Judd,1,0,test,200,0,19,0
626,Ken,1,1,test,200,19,19,0
627,Ferne,0,0,control,200,0,0,0
628,Sharon,0,0,control,200,0,0,0
629,Elaina,0,1,control,200,19,0,0
630,Micah,1,0,control,200,0,19,0
631,Jayde,0,0,test,200,0,0,0
632,Camilla,1,0,test,200,0,19,0
633,Price,0,0,test,200,0,0,0
634,Shanel,1,0,control,200,0,20,0
635,,0,0,control,200,0,0,0
636,Ken,1,1,test,200,20,20,0
637,Sheridan,0,0,test,200,0,0,0
638,Isabell,0,0,control,200,0,0,0
639,Montana,0,0,control,200,0,0,0
640,Ezekiel,1,0,test,200,0,20,0
641,Tara,0,0,control,200,0,0,0
642,Cordell,0,0,test,200,0,0,0
643,Lenny,0,0,test,200,0,0,0
644,Christopher,0,0,control,200,0,0,0
645,Brody,1,0,control,200,0,20,0
646,Isai,0,0,control,200,0,0,0
647,Maximilian,0,0,test,200,0,0,0
648,Audrey,0,0,test,200,0,0,0
649,Sam,1,0,test,200,0,21,0
650,Sylvester,0,0,control,200,0,0,0
651,Raphael,0,0,test,200,0,0,0
652,Efrain,0,0,test,200,0,0,0
653,London,0,0,test,200,0,0,0
654,Kyra,0,0,test,200,0,0,0
655,Jamir,1,0,test,200,0,21,0
656,,0,0,control,200,0,0,0
657,Anibal,1,0,test,200,0,21,0
658,Giovani,0,0,control,200,0,0,0
659,Lexus,1,0,control,200,0,22,0
660,Otis,0,0,control,200,0,0,0
661,Eusebio,0,0,test,200,0,0,0
662,Breana,0,0,control,200,0,0,0
663,Hershel,0,0,control,200,0,0,0
664,Federico,0,1,control,200,22,0,0
665,Eloy,1,1,control,200,22,22,0
666,Cale,0,0,control,200,0,0,0
667,Kaylah,0,0,test,200,0,0,0
668,Gilda,0,0,control,200,0,0,0
669,Kyle,0,0,control,200,0,0,0
